// Command line: MsdnHelper.exe /a 
// Project page: https://github.com/yallie/MsdnHelper
System.Random,ts6se2ek
System.RankException,dk917s00
System.ResolveEventArgs,z5zbzyxf
System.ResolveEventHandler,5hcacsxk
System.RuntimeArgumentHandle,y2a4atcf
System.RuntimeFieldHandle,aee3z96t
System.RuntimeMethodHandle,5t3b22ff
System.RuntimeTypeHandle,8c5h33k9
System.SByte,f71b253d
System.SerializableAttribute,bcfsa90a
System.Single,3www918f
System.StackOverflowException,xcewth9z
System.STAThreadAttribute,71tx0eb5
System.String,s1wwdcbf
System.StringComparer,5hc8kytd
System.StringComparison,8d9k4871
System.StringSplitOptions,dwa12991
System.SystemException,z3h75xk6
System.ThreadStaticAttribute,h3811ycd
System.TimeoutException,cke1faa2
System.TimeSpan,269ew577
System.TimeZone,xe5cd9e6
System.TimeZoneInfo,bb396389
System.TimeZoneInfo.AdjustmentRule,bb395972
System.TimeZoneInfo.TransitionTime,bb382768
System.TimeZoneNotFoundException,bb504484
System.Tuple,dd387036
System.Tuple`1,dd386941
System.Tuple`2,dd268536
System.Tuple`3,dd387150
System.Tuple`4,dd414846
System.Tuple`5,dd414892
System.Tuple`6,dd386877
System.Tuple`7,dd387185
System.Tuple`8,dd383325
System.Type,42892f65
System.TypeAccessException,ee332923
System.TypeCode,9z1bfk9y
System.TypedReference,2sw57c6f
System.TypeInitializationException,1ckzax6y
System.TypeLoadException,36t0y8dh
System.TypeUnloadedException,10541xww
System.UInt16,s6eyk10z
System.UInt32,ctys3981
System.UInt64,06cf7918
System.UIntPtr,z4x00zwx
System.UnauthorizedAccessException,f2y9aa54
System.UnhandledExceptionEventArgs,716y7t7e
System.UnhandledExceptionEventHandler,d7s55hcw
System.Uri,txt7706a
System.UriBuilder,0tf6x8z6
System.UriComponents,7767559y
System.UriFormat,0eyc7bhe
System.UriFormatException,40b678at
System.UriHostNameType,1xef4h42
System.UriIdnScope,bb535572
System.UriKind,ms131586
System.UriParser,ms131587
System.UriPartial,x82988a2
System.UriTemplate,bb515764
System.UriTemplateEquivalenceComparer,bb536603
System.UriTemplateMatch,bb536174
System.UriTemplateMatchException,bb536364
System.UriTemplateTable,bb536167
System.UriTypeConverter,ms131602
System.ValueType,aey3s293
System.Version,hdxyt63s
System.Void,skf099af
System.WeakReference,hbh8w2zd
System.WeakReference`1,gg712738
System.WindowsRuntimeSystemExtensions,hh581964
System.Activities,dd485307
System.Activities.Core.Presentation,ee403190
System.Activities.Core.Presentation.Factories,ee403156
System.Activities.Core.Presentation.Themes,ee403166
System.Activities.Debugger,dd483603
System.Activities.Debugger.Symbol,hh157085
System.Activities.DurableInstancing,dd985766
System.Activities.DynamicUpdate,dd556096
System.Activities.ExpressionParser,dd453951
System.Activities.Expressions,dd484665
System.Activities.Hosting,dd484514
System.Activities.Persistence,dd330464
System.Activities.Presentation,ee403954
System.Activities.Presentation.Annotations,hh157243
System.Activities.Presentation.Converters,ee514637
System.Activities.Presentation.Debug,ee403266
System.Activities.Presentation.Expressions,hh135627
System.Activities.Presentation.Hosting,ee403217
System.Activities.Presentation.Metadata,ee403317
System.Activities.Presentation.Model,ee403653
System.Activities.Presentation.PropertyEditing,ee425560
